run_tag,model_name,model_display_name,training_mode,seed_count,fold_count,run_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1
15_resnet50_baseline_dataset2,resnet50,ResNet-50,baseline,3,5,15,0.991274,0.003467,0.991482,0.002911,0.990785,0.004098,0.991482,0.002911,0.9911,0.003519
16_resnet50_gan_dataset2,resnet50,ResNet-50,gan,3,5,15,0.992395,0.004309,0.992588,0.003716,0.991971,0.00494,0.992588,0.003716,0.992243,0.00438
29_resnet50_stylegan3_dataset2,resnet50,ResNet-50,stylegan3,3,5,15,0.992475,0.004609,0.99265,0.004515,0.992032,0.004909,0.99265,0.004515,0.992321,0.004703
17_efficientnetv2s_baseline_dataset2,efficientnetv2s,EfficientNetV2-S,baseline,3,5,15,0.994279,0.002838,0.99444,0.002407,0.993919,0.003326,0.99444,0.002407,0.994163,0.002887
18_efficientnetv2s_gan_dataset2,efficientnetv2s,EfficientNetV2-S,gan,3,5,15,0.994961,0.001848,0.995025,0.001531,0.99471,0.00224,0.995025,0.001531,0.994855,0.001881
30_efficientnetv2s_stylegan3_dataset2,efficientnetv2s,EfficientNetV2-S,stylegan3,3,5,15,0.994735,0.001818,0.994819,0.001692,0.994451,0.002061,0.994819,0.001692,0.994625,0.001851
19_convnextv2nano_baseline_dataset2,convnextv2nano,ConvNeXtV2-Nano,baseline,3,5,15,0.936084,0.138508,0.926778,0.161388,0.928126,0.185774,0.926778,0.161388,0.913046,0.199529
20_convnextv2nano_gan_dataset2,convnextv2nano,ConvNeXtV2-Nano,gan,3,5,15,0.98924,0.00449,0.989077,0.004573,0.989065,0.004698,0.989077,0.004573,0.989014,0.004577
31_convnextv2nano_stylegan3_dataset2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,3,5,15,0.989437,0.004666,0.98919,0.004745,0.989324,0.004862,0.98919,0.004745,0.989214,0.004751
