cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1397,0.992893
2026,2026,1,cocci,bacilli,10,0.007107
2026,2026,1,bacilli,cocci,11,0.005783
2026,2026,1,bacilli,bacilli,1891,0.994217
2026,2026,2,cocci,cocci,1425,0.987526
2026,2026,2,cocci,bacilli,18,0.012474
2026,2026,2,bacilli,cocci,19,0.010005
2026,2026,2,bacilli,bacilli,1880,0.989995
2026,2026,3,cocci,cocci,1416,0.990903
2026,2026,3,cocci,bacilli,13,0.009097
2026,2026,3,bacilli,cocci,7,0.003601
2026,2026,3,bacilli,bacilli,1937,0.996399
2026,2026,4,cocci,cocci,1079,0.751393
2026,2026,4,cocci,bacilli,357,0.248607
2026,2026,4,bacilli,cocci,1,0.00052
2026,2026,4,bacilli,bacilli,1921,0.99948
2026,2026,5,cocci,cocci,1424,0.993719
2026,2026,5,cocci,bacilli,9,0.006281
2026,2026,5,bacilli,cocci,2,0.001052
2026,2026,5,bacilli,bacilli,1899,0.998948
2027,2027,1,cocci,cocci,1401,0.995736
2027,2027,1,cocci,bacilli,6,0.004264
2027,2027,1,bacilli,cocci,11,0.005783
2027,2027,1,bacilli,bacilli,1891,0.994217
2027,2027,2,cocci,cocci,1391,0.963964
2027,2027,2,cocci,bacilli,52,0.036036
2027,2027,2,bacilli,cocci,8,0.004213
2027,2027,2,bacilli,bacilli,1891,0.995787
2027,2027,3,cocci,cocci,1395,0.976207
2027,2027,3,cocci,bacilli,34,0.023793
2027,2027,3,bacilli,cocci,5,0.002572
2027,2027,3,bacilli,bacilli,1939,0.997428
2027,2027,4,cocci,cocci,1212,0.844011
2027,2027,4,cocci,bacilli,224,0.155989
2027,2027,4,bacilli,cocci,47,0.024454
2027,2027,4,bacilli,bacilli,1875,0.975546
2027,2027,5,cocci,cocci,1426,0.995115
2027,2027,5,cocci,bacilli,7,0.004885
2027,2027,5,bacilli,cocci,298,0.15676
2027,2027,5,bacilli,bacilli,1603,0.84324
2028,2028,1,cocci,cocci,1399,0.994314
2028,2028,1,cocci,bacilli,8,0.005686
2028,2028,1,bacilli,cocci,10,0.005258
2028,2028,1,bacilli,bacilli,1892,0.994742
2028,2028,2,cocci,cocci,1417,0.981982
2028,2028,2,cocci,bacilli,26,0.018018
2028,2028,2,bacilli,cocci,7,0.003686
2028,2028,2,bacilli,bacilli,1892,0.996314
2028,2028,3,cocci,cocci,1418,0.992302
2028,2028,3,cocci,bacilli,11,0.007698
2028,2028,3,bacilli,cocci,10,0.005144
2028,2028,3,bacilli,bacilli,1934,0.994856
2028,2028,4,cocci,cocci,1425,0.99234
2028,2028,4,cocci,bacilli,11,0.00766
2028,2028,4,bacilli,cocci,43,0.022373
2028,2028,4,bacilli,bacilli,1879,0.977627
2028,2028,5,cocci,cocci,1412,0.985345
2028,2028,5,cocci,bacilli,21,0.014655
2028,2028,5,bacilli,cocci,1,0.000526
2028,2028,5,bacilli,bacilli,1900,0.999474
